parent_id,parent_name,item_id,item_name
360,ALIBORI,201,BANIKOARA
360,ALIBORI,202,GOGOUNOU
360,ALIBORI,203,KANDI
360,ALIBORI,204,KARIMAMA
360,ALIBORI,205,MALANVILLE
360,ALIBORI,206,SEGBANA
361,ATACORA,207,BOUKOUMBE
361,ATACORA,208,COBLY
361,ATACORA,209,KEROU
361,ATACORA,210,KOUANDE
361,ATACORA,211,MATERI
361,ATACORA,212,NATITINGOU
361,ATACORA,213,OUASSA-PEHUNCO
361,ATACORA,214,TANGUIETA
361,ATACORA,215,TOUKOUNTOUNA
362,ATLANTIQUE,216,ABOMEY-CALAVI
362,ATLANTIQUE,217,ALLADA
362,ATLANTIQUE,218,KPOMASSE
362,ATLANTIQUE,219,OUIDAH
362,ATLANTIQUE,220,SO-AVA
362,ATLANTIQUE,221,TOFFO
362,ATLANTIQUE,222,TORI-BOSSITO
362,ATLANTIQUE,223,ZE
363,BORGOU,224,BEMBEREKE
363,BORGOU,225,KALALE
363,BORGOU,226,NIKKI
363,BORGOU,227,N’DALI
363,BORGOU,228,PARAKOU
363,BORGOU,229,PERERE
363,BORGOU,230,SINENDE
363,BORGOU,231,TCHAOUROU
364,COLLINES,232,BANTE
364,COLLINES,233,DASSA-ZOUME
364,COLLINES,234,GLAZOUE
364,COLLINES,235,OUESSE
364,COLLINES,236,SAVALOU
364,COLLINES,237,SAVE
365,DONGA,238,BASSILA
365,DONGA,239,COPARGO
365,DONGA,240,DJOUGOU
365,DONGA,241,OUAKE
366,KOUFFO,242,APLAHOUE
366,KOUFFO,243,DJAKOTOMEY
366,KOUFFO,244,DOGBO
366,KOUFFO,245,KLOUEKANMEY
366,KOUFFO,246,LALO
366,KOUFFO,247,TOVIKLIN
367,LITTORAL,248,COTONOU
368,MONO,249,ATHIEME
368,MONO,250,BOPA
368,MONO,251,COME
368,MONO,252,GRAND-POPO
368,MONO,253,HOUEYOGBE
368,MONO,254,LOKOSSA
369,OUEME,255,ADJARRA
369,OUEME,256,ADJOHOUN
369,OUEME,257,AGUEGUES
369,OUEME,258,AKPRO-MISSERETE
369,OUEME,259,AVRANKOU
369,OUEME,260,BONOU
369,OUEME,261,DANGBO
369,OUEME,262,PORTO-NOVO
369,OUEME,263,SEME-PODJI
370,PLATEAU,264,ADJA-OUERE
370,PLATEAU,265,IFANGNI
370,PLATEAU,266,KETOU
370,PLATEAU,267,POBE
370,PLATEAU,268,SAKETE
371,ZOU,269,ABOMEY
371,ZOU,270,AGBANGNIZOUN
371,ZOU,271,BOHICON
371,ZOU,272,COVE
371,ZOU,273,DJIDJA
371,ZOU,274,OUINHI
371,ZOU,275,ZA-KPOTA
371,ZOU,276,ZAGNANADO
371,ZOU,277,ZOGBODOMEY
