parent_id,item_id,item_name
201,3001,Banikoara
201,3002,Founougo
201,3003,Gomparou
201,3004,Goumori
201,3005,Kokey
201,3006,Kokiborou
201,3007,Ounet
201,3008,Somperoukou
201,3009,Soroko
201,3010,Toura
202,3011,Bagou
202,3012,Gogounou
202,3013,Gounarou
202,3014,Sori
202,3015,Sougou-Kpan-Trossi
202,3016,Wara
203,3017,Angaradebou
203,3018,Bensekou
203,3019,Donwari
203,3020,Kandi 1
203,3021,Kandi 2
203,3022,Kandi 3
203,3023,Kassakou
203,3024,Saah
203,3025,Sam
203,3026,Sonsoro
204,3027,Birni Lafia
204,3028,Bogo-Bogo
204,3029,Karimama
204,3030,Kompa
204,3031,Monsey
205,3032,Garou
205,3033,Guene
205,3034,Madecali
205,3035,Malanville
205,3036,Toumboutou
206,3037,Libante
206,3038,Liboussou
206,3039,Lougou
206,3040,Segbana
206,3041,Sokotindji
207,3042,Boukoumbe
207,3043,Dipoli
207,3044,Korontiere
207,3045,Koussoucoingou
207,3046,Manta
207,3047,Nata
207,3048,Tabota
208,3049,Cobly
208,3050,Datori
208,3051,Kountori
208,3052,Tapoga
209,3053,Brignamaro
209,3054,Firou
209,3055,Kaobagou
209,3056,Kerou
210,3057,Birni
210,3058,Chabi – Couma
210,3059,Foo-Tance
210,3060,Guilmaro
210,3061,Kouande
210,3062,Oroukayo
211,3063,Dassari
211,3064,Gouande
211,3065,Materi
211,3066,Nodi
211,3067,Tantega
211,3068,Tchanhouncossi
212,3069,Kotopounga
212,3070,Kouaba
212,3071,Kouandata
212,3072,Natitingou I
212,3073,Natitingou Ii
212,3074,Natitingou Iii
212,3075,Peporiyakou
212,3076,Perma
212,3077,Tchoumi-Tchoumi
213,3078,Gnemasson
213,3079,Pehunco
213,3080,Tobre
214,3081,Cotiakou
214,3082,N’dahonta
214,3083,Taiacou
214,3084,Tanguieta
214,3085,Tanongou
215,3086,Kouarfa
215,3087,Tampegre
215,3088,Toukountouna
216,3089,Abomey-Calavi
216,3090,Akassato
216,3091,Godomey
216,3092,Golo-Djigbe
216,3093,Hevie
216,3094,Kpanroun
216,3095,Ouedo
216,3096,Togba
216,3097,Zinvie
217,3098,Agbanou
217,3099,Ahouannonzoun
217,3100,Allada Centre
217,3101,Attogon
217,3102,Avakpa
217,3103,Ayou
217,3104,Hinvi
217,3105,Lissegazoun
217,3106,Lon-Agonmey
217,3107,Sekou
217,3108,Togoudo
217,3109,Tokpa
218,3110,Aganmalome
218,3111,Agbanto
218,3112,Agonkanme
218,3113,Dedome
218,3114,Dekanme
218,3115,Kpomasse Centre
218,3116,Segbeya
218,3117,Segbohoue
