parent_id,item_id,item_name
3001,40001,Arbonga
3001,40002,Aviation
3001,40003,Batran
3001,40004,Demanou
3001,40005,Dérou Garou
3001,40006,Glégbabi
3001,40007,Guiguiri
3001,40008,Kingarou
3001,40009,Kokiré
3001,40010,Kommon
3001,40011,Kori Guiguiri
3001,40012,Kpagaguèdou
3001,40013,Orou Gnonrou
3001,40014,Samanga
3001,40015,Tokey-Banta
3001,40016,Wagou
3001,40017,Wétérou
3001,40018,Yadikparou
3002,40019,Bofounou
3002,40020,Founougo-Boutèra
3002,40021,Founougo-Gorobani
3002,40022,Founougo-Gah
3002,40023,Gama
3002,40024,Gaméré-Zongo
3002,40025,Gougnirou
3002,40026,Gougnirou-Gah
3002,40027,Iboto
3002,40028,Igrigou
3002,40029,Kandérou
3002,40030,Kandérou-Kotchera
3002,40031,Koney
3002,40032,Kpako-Gbabi
3002,40033,Pogoussorou
3002,40034,Sampèto
3002,40035,Sissianganrou
3002,40036,Yanguéri
3002,40037,Yinyinpogou
3003,40038,Bonhanrou
3003,40039,Gnambanou
3003,40040,Gomparou-Gokpadou
3003,40041,Gomparou Goussinrou
3003,40042,Gomparou
3003,40043,Gourè-Edé
3003,40044,Kali
3003,40045,Kpessanrou
3003,40046,Niékoubanta
3003,40047,Pampime
3003,40048,Sionkpékoka
3003,40049,Tiganson
3003,40050,Yossinandé
3004,40051,Bonni
3004,40052,Bontè
3004,40053,Dombouré
3004,40054,Dombouré-Gah
3004,40055,Dondagou
3004,40056,Gbassa
3004,40057,Ggangbanga
3004,40058,Goumori-Gbissarou
3004,40059,Goumori-Bayèdou
3004,40060,Goumori-Gah
3004,40061,Mondoukoka
3004,40062,Mondoukoka-Gah
3004,40063,Sakassinnou
3004,40064,Satouba
3004,40065,Tihourè
3005,40066,Gamarou
3005,40067,Kokey-Sinakparou
3005,40068,Kokey-Filo
3005,40069,Nimbéré
3005,40070,Piguiré
3005,40071,Sonwari
3005,40072,Yambérou
3006,40073,Bonkéré
3006,40074,Kokiborou
3006,40075,Sounsoun
3006,40076,Guinningou-Gah
3006,40077,Sirikou
3007,40078,Boniki
3007,40079,Kihouhou
3007,40080,Kpéborogou
